city,year,party,tot_invest,administration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest
aosta,2012,UV,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
aosta,2013,UV,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
aosta,2014,UV,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
arezzo,2005,FI,"INVESTIMENTI 28,2 milioni ","INVESTIMENTI 3,6 milioni ",INVESTIMENTI 764483 ,"INVESTIMENTI 1,8 milioni ","INVESTIMENTI 6,4 milioni ","INVESTIMENTI 3,9 milioni ",INVESTIMENTI 256210 ,"INVESTIMENTI 3,5 milioni ",INVESTIMENTI 590 ,"INVESTIMENTI 1,6 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 7319 ,"INVESTIMENTI 6,4 milioni "
,,,,,,,,,,,,,,,
arezzo,2006,more_party,"INVESTIMENTI 14,5 milioni ","INVESTIMENTI 2,9 milioni ",INVESTIMENTI 608487 ,"INVESTIMENTI 1,0 milioni ","INVESTIMENTI 3,4 milioni ","INVESTIMENTI 1,9 milioni ",INVESTIMENTI 106362 ,"INVESTIMENTI 1,6 milioni ",INVESTIMENTI 7551 ,INVESTIMENTI 5665 ,INVESTIMENTI 0 ,INVESTIMENTI 134804 ,"INVESTIMENTI 2,9 milioni "
,,,,,,,,,,,,,,,
arezzo,2007,DS,"INVESTIMENTI 12,1 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 3,2 milioni ","INVESTIMENTI 3,0 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 234391 ,INVESTIMENTI 568805 ,INVESTIMENTI 25566 ,INVESTIMENTI 56335 ,INVESTIMENTI 0 ,INVESTIMENTI 272855 ,INVESTIMENTI 375197 
,,,,,,,,,,,,,,,
arezzo,2008,DS,"INVESTIMENTI 14,7 milioni ","INVESTIMENTI 3,1 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 1,5 milioni ","INVESTIMENTI 4,9 milioni ",INVESTIMENTI 921911 ,INVESTIMENTI 123544 ,"INVESTIMENTI 2,2 milioni ",INVESTIMENTI 24932 ,INVESTIMENTI 8700 ,INVESTIMENTI 5 ,INVESTIMENTI 156273 ,INVESTIMENTI 405051 
,,,,,,,,,,,,,,,
arezzo,2009,DS,"INVESTIMENTI 12,1 milioni ","INVESTIMENTI 3,4 milioni ",INVESTIMENTI 793007 ,"INVESTIMENTI 2,5 milioni ","INVESTIMENTI 3,7 milioni ",INVESTIMENTI 344497 ,INVESTIMENTI 121407 ,INVESTIMENTI 596221 ,INVESTIMENTI 0 ,INVESTIMENTI 297154 ,INVESTIMENTI 0 ,INVESTIMENTI 52392 ,INVESTIMENTI 264595 
,,,,,,,,,,,,,,,
arezzo,2010,DS,"INVESTIMENTI 12,4 milioni ","INVESTIMENTI 4,0 milioni ",INVESTIMENTI 202105 ,"INVESTIMENTI 1,2 milioni ","INVESTIMENTI 5,8 milioni ",INVESTIMENTI 683589 ,INVESTIMENTI 3805 ,INVESTIMENTI 256383 ,INVESTIMENTI 31052 ,INVESTIMENTI 114987 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 41401 
,,,,,,,,,,,,,,,
arezzo,2011,more_party,"INVESTIMENTI 17,3 milioni ","INVESTIMENTI 3,8 milioni ",INVESTIMENTI 353891 ,"INVESTIMENTI 4,2 milioni ","INVESTIMENTI 6,7 milioni ",INVESTIMENTI 945048 ,INVESTIMENTI 15127 ,INVESTIMENTI 332096 ,INVESTIMENTI 21408 ,INVESTIMENTI 784121 ,INVESTIMENTI 0 ,INVESTIMENTI 105132 ,INVESTIMENTI 19298 
,,,,,,,,,,,,,,,
arezzo,2012,PD,"INVESTIMENTI 15,8 milioni ","INVESTIMENTI 3,0 milioni ",INVESTIMENTI 939571 ,"INVESTIMENTI 2,4 milioni ","INVESTIMENTI 6,8 milioni ",INVESTIMENTI 466817 ,"INVESTIMENTI 1,0 milioni ",INVESTIMENTI 340805 ,INVESTIMENTI 95836 ,INVESTIMENTI 659535 ,INVESTIMENTI 0 ,INVESTIMENTI 45495 ,INVESTIMENTI 34910 
,,,,,,,,,,,,,,,
arezzo,2013,PD,"INVESTIMENTI 15,8 milioni ","INVESTIMENTI 3,3 milioni ",INVESTIMENTI 533027 ,"INVESTIMENTI 3,1 milioni ","INVESTIMENTI 2,1 milioni ",INVESTIMENTI 43464 ,"INVESTIMENTI 1,7 milioni ","INVESTIMENTI 2,2 milioni ",INVESTIMENTI 619742 ,"INVESTIMENTI 1,5 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 58020 ,INVESTIMENTI 477350 
,,,,,,,,,,,,,,,
arezzo,2014,PD,"INVESTIMENTI 10,1 milioni ","INVESTIMENTI 2,2 milioni ",INVESTIMENTI 48461 ,"INVESTIMENTI 3,2 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 358482 ,INVESTIMENTI 813097 ,INVESTIMENTI 103003 ,INVESTIMENTI 915966 ,"INVESTIMENTI 1,0 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 34275 ,INVESTIMENTI 222765 
,,,,,,,,,,,,,,,
ascoli-piceno,2005,FI,"INVESTIMENTI 17,5 milioni ","INVESTIMENTI 9,7 milioni ",INVESTIMENTI 972777 ,"INVESTIMENTI 2,6 milioni ","INVESTIMENTI 2,7 milioni ",INVESTIMENTI 80614 ,INVESTIMENTI 44533 ,INVESTIMENTI 513143 ,INVESTIMENTI 739685 ,INVESTIMENTI 5630 ,INVESTIMENTI 0 ,INVESTIMENTI 83938 ,INVESTIMENTI 29072 
,,,,,,,,,,,,,,,
ascoli-piceno,2006,FI,"INVESTIMENTI 24,2 milioni ","INVESTIMENTI 17,5 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 3,4 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 101487 ,INVESTIMENTI 30719 ,INVESTIMENTI 604619 ,INVESTIMENTI 245142 ,INVESTIMENTI 1294 ,INVESTIMENTI 8287 ,INVESTIMENTI 43912 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ascoli-piceno,2007,FI,"INVESTIMENTI 15,2 milioni ","INVESTIMENTI 6,5 milioni ","INVESTIMENTI 1,6 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 2,2 milioni ",INVESTIMENTI 361690 ,INVESTIMENTI 979398 ,"INVESTIMENTI 1,3 milioni ",INVESTIMENTI 155916 ,INVESTIMENTI 0 ,INVESTIMENTI 9781 ,INVESTIMENTI 40155 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ascoli-piceno,2008,FI,"INVESTIMENTI 11,6 milioni ","INVESTIMENTI 5,3 milioni ",INVESTIMENTI 984303 ,"INVESTIMENTI 1,4 milioni ","INVESTIMENTI 2,4 milioni ",INVESTIMENTI 423271 ,INVESTIMENTI 450490 ,INVESTIMENTI 537654 ,INVESTIMENTI 137566 ,INVESTIMENTI 2420 ,INVESTIMENTI 25502 ,INVESTIMENTI 22394 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ascoli-piceno,2009,more_party,"INVESTIMENTI 13,7 milioni ","INVESTIMENTI 5,7 milioni ","INVESTIMENTI 1,5 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 2,9 milioni ",INVESTIMENTI 946576 ,INVESTIMENTI 616198 ,INVESTIMENTI 582949 ,INVESTIMENTI 175868 ,INVESTIMENTI 4576 ,INVESTIMENTI 6936 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ascoli-piceno,2010,PDL,"INVESTIMENTI 11,6 milioni ","INVESTIMENTI 6,3 milioni ","INVESTIMENTI 1,5 milioni ","INVESTIMENTI 1,4 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 271278 ,INVESTIMENTI 471466 ,INVESTIMENTI 74703 ,INVESTIMENTI 23857 ,INVESTIMENTI 11631 ,INVESTIMENTI 0 ,INVESTIMENTI 44531 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ascoli-piceno,2011,PDL,"INVESTIMENTI 7,9 milioni ","INVESTIMENTI 4,9 milioni ",INVESTIMENTI 624905 ,INVESTIMENTI 959922 ,INVESTIMENTI 586659 ,INVESTIMENTI 338055 ,INVESTIMENTI 386231 ,INVESTIMENTI 65294 ,INVESTIMENTI 655 ,INVESTIMENTI 912 ,INVESTIMENTI 0 ,INVESTIMENTI 85202 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
