Name,Zone,Price,Surface
"Bilocale viale Monza,78, Rovereto, Milano",pasteur-rovereto,1300,45
"Bilocale via Nino Oxilia,13, Pasteur, Milano",pasteur-rovereto,1450,54
"Bilocale via Martiri Oscuri,3, Rovereto, Milano",pasteur-rovereto,1500,60
"Bilocale via Privata Giulio Bergonzoli,3, Pasteur, Milano",pasteur-rovereto,2700,50
"Monolocale via delle Leghe,14, Pasteur, Milano",pasteur-rovereto,1300,38
"Bilocale via Padova,26, Pasteur, Milano",pasteur-rovereto,1400,42
"Bilocale piazzale Loreto,5, Pasteur, Milano",pasteur-rovereto,1600,50
"Trilocale via merano, 9, Rovereto, Milano",pasteur-rovereto,1150,75
"Trilocale via Ferrante Aporti, Pasteur, Milano",pasteur-rovereto,1500,60
"Monolocale viale Monza,83, Rovereto, Milano",pasteur-rovereto,1650,50
"Trilocale via Padova 49, Parco Trotter, Milano",pasteur-rovereto,1700,100
"Monolocale via dei Transiti 24, Pasteur, Milano",pasteur-rovereto,600,20
"Bilocale piazza Francesco Durante,36, Parco Trotter, Milano",pasteur-rovereto,1650,50
"Bilocale via Pietro Crespi 16, Rovereto, Milano",pasteur-rovereto,1300,50
"Bilocale via Marco Aurelio 6, Parco Trotter, Milano",pasteur-rovereto,900,55
"Quadrilocale via Bolzano, Rovereto, Milano",pasteur-rovereto,1280,110
"Bilocale via Merano, Rovereto, Milano",pasteur-rovereto,700,35
"Bilocale via Soperga, Centrale, Milano",pasteur-rovereto,1300,75
"Trilocale via Ferrante Aporti, Pasteur, Milano",pasteur-rovereto,1500,60
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,45
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,65
"Bilocale via TOLMEZZO 3, Udine, Milano",pasteur-rovereto,1000,72
"Trilocale ottimo stato, quinto piano, Casoretto, Milano",pasteur-rovereto,1200,85
"Bilocale via Giorgio Chavez 20, Parco Trotter, Milano",pasteur-rovereto,1100,66
"Monolocale viale padova., Parco Trotter, Milano",pasteur-rovereto,900,30
